1;فيزا البنك الاهلي;0.0075;0.0000000000
2;كارت بنك غير الاهلي;0.0145;0.0000000000
3;كارت البنك الاهلي نقاط;0.0000;0.0000000000
4;كارت الاهلي تقسيط 6 شهور;0.0640;0.0000000000
5;كارت الاهلي تقسيط 9 شهور;0.0000;0.0931000000
6;كارت الاهلي تقسيط 10 1شهر;0.0000;0.1071000000
7;كارت الاهلي تقسيط 12 شهر;0.0000;0.1187000000
8;كارت الاهلي تقسيط 18 شهر;0.0000;0.1671000000
9;كارت الاهلي تقسيط 24 شهر;0.0000;0.2119000000
10;كارت الاهلي تقسيط 30 شهر;0.0000;0.2535000000
11;كارت الاهلي تقسيط 36 شهر;0.0000;0.2920000000
12;كارت بنك CIB;0.0100;0.0000000000
13;كارت ميزة CIB;0.0115;0.0000000000
14;كارت بنك غير CIB;0.0165;0.0000000000
15;AMAN;0.0200;0.0000000000
16;Souhoola;0.0300;0.0000000000
17;VALU;0.0300;0.0000000000
18;CONTACT;0.0100;0.0000000000
19;Khazna;0.0300;0.0000000000
20;Forsa;0.0100;0.0000000000
21;بنك مصر 6 شهور Paymob;0.0000;0.0750000000
22;بنك مصر 12 شهر Paymob;0.0000;0.1150000000
23;بنك مصر 18 شهر Paymob;0.0000;0.1650000000
24;بنك مصر 24 شهر Paymob;0.0000;0.2050000000
25;بنك مصر 36 شهر Paymob;0.0000;0.2850000000
26;مشرق 6 شهور Paymob;0.0170;0.0700000000
27;مشرق 12 شهر Paymob;0.0170;0.1100000000
28;مشرق 18 شهر Paymob;0.0170;0.1450000000
29;مشرق 24 شهر Paymob;0.0170;0.1800000000
30;3 شهور CIB Paymob;0.0000;0.0590000000
31;6 شهور CIB Paymob;0.0000;0.0780000000
32;10 شهور CIB Paymob;0.0000;0.1150000000
33;12 شهر CIB Paymob;0.0000;0.1350000000
34;18 شهر CIB Paymob;0.0000;0.1900000000
35;24 شهر CIB Paymob;0.0000;0.2450000000
36;36 شهر CIB Paymob;0.0000;0.3390000000
37;6 شهور NBE Paymob;0.0000;0.0662000000
38;9 شهور NBE Paymob;0.0000;0.0908000000
39;10 شهور NBE Paymob;0.0000;0.0989000000
40;12 شهر NBE Paymob;0.0000;0.1146000000
41;18 شهر NBE Paymob;0.0000;0.1598000000
42;24 شهر NBE Paymob;0.0000;0.2018000000
43;30 شهر NBE Paymob;0.0000;0.2411000000
44;36 شهر NBE Paymob;0.0000;0.2777000000
45;3 شهور ADIB Paymob;0.0170;0.0435000000
46;6 شهور ADIB Paymob;0.0170;0.0550000000
47;9 شهور ADIB Paymob;0.0170;0.0700000000
48;12 شهر ADIB Paymob;0.0170;0.0835000000
49;18 شهر ADIB Paymob;0.0170;0.1255000000
50;24 شهر ADIB Paymob;0.0170;0.1653000000
51;36 شهر ADIB Paymob;0.0170;0.2370000000
52;6 شهور NBK Paymob;0.0170;0.0775000000
53;12 شهر NBK Paymob;0.0170;0.1200000000
54;18 شهر NBK Paymob;0.0170;0.1675000000
55;24 شهر NBK Paymob;0.0170;0.2150000000
56;36 شهر NBK Paymob;0.0170;0.3150000000
57;6 شهور aiBank Paymob;0.0170;0.0730000000
58;12 شهر aiBank Paymob;0.0170;0.1090000000
59;18 شهر aiBank Paymob;0.0170;0.1540000000
60;24 شهر aiBank Paymob;0.0170;0.1995000000
61;36 شهر aiBank Paymob;0.0170;0.3050000000
62;3 شهور AUB Paymob;0.0170;0.0450000000
63;6 شهور AUB Paymob;0.0170;0.0750000000
64;9 شهور AUB Paymob;0.0170;0.0975000000
65;12 شهر AUB Paymob;0.0170;0.1225000000
66;18 شهر AUB Paymob;0.0170;0.1650000000
67;6 شهور BDC Paymob;0.0170;0.0840000000
68;12 شهر BDC Paymob;0.0170;0.1344000000
69;18 شهر BDC Paymob;0.0170;0.1863000000
70;24 شهر BDC Paymob;0.0170;0.2437000000
71;6 شهور FAB Paymob;0.0170;0.0700000000
72;12 شهر FAB Paymob;0.0170;0.1200000000
