1;كارت البنك الاهلي;0.0075;0;1;
2;كارت بنك غير الاهلي;0.0145;0;1;
3;نقاط البنك الاهلى ;0.025;0;1;
4;كارت الاهلي تقسيط 6 شهور;0.0899;0;1;
5;كارت الاهلي تقسيط 9 شهور;0;0.0931;1;
6;كارت الاهلي تقسيط 10 شهور;0;0.1071;1;
7;كارت الاهلي تقسيط 12 شهر;0;0.1187;1;
8;كارت الاهلي تقسيط 18 شهر;0;0.1671;1;
9;كارت الاهلي تقسيط 24 شهر;0;0.2119;1;
10;كارت الاهلي تقسيط 30 شهر;0;0.2535;1;
11;كارت الاهلي تقسيط 36 شهر;0;0.292;1;
12;كارت بنك CIB;0.01;0;1;
13;كارت ميزة;0.0115;0;1;
14;كارت بنك غير CIB;0.0165;0;1;
15;AMAN;0.02;0;1;
16;Souhoola;0.03;0;1;
17;VALU;0.03;0;1;
18;CONTACT;0.01;0;1;
19;Khazna;0.03;0;1;
20;Forsa;0.01;0;1;
21;بنك مصر 6 شهور Paymob;0;0.075;0;
22;بنك مصر 12 شهر Paymob;0;0.115;0;
23;بنك مصر 18 شهر Paymob;0;0.165;0;
24;بنك مصر 24 شهر Paymob;0;0.205;0;
25;بنك مصر 36 شهر Paymob;0;0.285;0;
26;مشرق 6 شهور Paymob;0.017;0.07;0;
27;مشرق 12 شهر Paymob;0.017;0.11;0;
28;مشرق 18 شهر Paymob;0.017;0.145;0;
29;مشرق 24 شهر Paymob;0.017;0.18;0;
30;3 شهور CIB Paymob;0;0.059;0;
31;6 شهور CIB Paymob;0;0.078;0;
32;10 شهور CIB Paymob;0;0.115;0;
33;12 شهر CIB Paymob;0;0.135;0;
34;18 شهر CIB Paymob;0;0.19;0;
35;24 شهر CIB Paymob;0;0.245;0;
36;36 شهر CIB Paymob;0;0.339;0;
37;6 شهور NBE Paymob;0;0.0662;0;
38;9 شهور NBE Paymob;0;0.0908;0;
39;10 شهور NBE Paymob;0;0.0989;0;
40;12 شهر NBE Paymob;0;0.1146;0;
41;18 شهر NBE Paymob;0;0.1598;0;
42;24 شهر NBE Paymob;0;0.2018;0;
43;30 شهر NBE Paymob;0;0.2411;0;
44;36 شهر NBE Paymob;0;0.2777;0;
45;3 شهور ADIB Paymob;0.017;0.0435;0;
46;6 شهور ADIB Paymob;0.017;0.055;0;
47;9 شهور ADIB Paymob;0.017;0.07;0;
48;12 شهر ADIB Paymob;0.017;0.0835;0;
49;18 شهر ADIB Paymob;0.017;0.1255;0;
50;24 شهر ADIB Paymob;0.017;0.1653;0;
51;36 شهر ADIB Paymob;0.017;0.237;0;
52;6 شهور NBK Paymob;0.017;0.0775;0;
53;12 شهر NBK Paymob;0.017;0.12;0;
54;18 شهر NBK Paymob;0.017;0.1675;0;
55;24 شهر NBK Paymob;0.017;0.215;0;
56;36 شهر NBK Paymob;0.017;0.315;0;
57;6 شهور aiBank Paymob;0.017;0.073;0;
58;12 شهر aiBank Paymob;0.017;0.109;0;
59;18 شهر aiBank Paymob;0.017;0.154;0;
60;24 شهر aiBank Paymob;0.017;0.1995;0;
61;36 شهر aiBank Paymob;0.017;0.305;0;
62;3 شهور AUB Paymob;0.017;0.045;0;
63;6 شهور AUB Paymob;0.017;0.075;0;
64;9 شهور AUB Paymob;0.017;0.0975;0;
65;12 شهر AUB Paymob;0.017;0.1225;0;
66;18 شهر AUB Paymob;0.017;0.165;0;
67;6 شهور BDC Paymob;0.017;0.084;0;
68;12 شهر BDC Paymob;0.017;0.1344;0;
69;18 شهر BDC Paymob;0.017;0.1863;0;
70;24 شهر BDC Paymob;0.017;0.2437;0;
71;6 شهور FAB Paymob;0.017;0.07;0;
72;12 شهر FAB Paymob;0.017;0.12;0;
73;18 شهر FAB Paymob;0.017;0.1675;0;
74;24 شهر FAB Paymob;0.017;0.215;0;
75;6 شهور NBD Paymob;0.017;0.075;0;
76;12 شهر NBD Paymob;0.017;0.13;0;
77;18 شهر NBD Paymob;0.017;0.17;0;
78;24 شهر NBD Paymob;0.017;0.225;0;
79;3 شهور SAIB Paymob;0.017;0.042;0;
80;6 شهور SAIB Paymob;0.017;0.06;0;
81;12 شهر SAIB Paymob;0.017;0.1;0;
82;18 شهر SAIB Paymob;0.017;0.14;0;
83;3 شهور Attijariwafa Paymob;0.017;0.055;0;
84;6 شهور Attijariwafa Paymob;0.017;0.105;0;
85;12 شهر Attijariwafa Paymob;0.017;0.165;0;
86;24 شهر Attijariwafa Paymob;0.017;0.225;0;
87;12 شهر HSBC Paymob;0.017;0.125;0;
10000;فورى;0;0;0;
10001;فيزا البنك العربى الافريقى;0;0;0;
10002;فيزا لوران 1;0;0;0;
10003;فيزا لوران 2;0;0;0;
10004;فيزا روكسى;0;0;0;
10005;فيزا المعادى;0;0;0;
10006;فيزا المنصورة;0;0;0;
10007;فيزا عباس العقاد;0;0;0;
10008;فيزا ميراج;0;0;0;
10009;فيزا سموحة;0;0;0;
10010;فيزا حلوان;0;0;0;
10011;فيزا كفر الشيخ;0;0;0;
10012;فيزا دمنهور;0;0;0;
10013;فيزا مصر الجديدة;0;0;0;
10014;فيزا البنك االاهلى;0;0;0;
10015;فيزا 6اكتوبر;0;0;0;
10016;فيزا CIB;0;0;0;
10017;Paymob;0;0;0;
10019;Valu;0;0;0;
10020;Contact;0;0;0;
10021;Kazna;0;0;0;
10022;Souhoola;0;0;0;
10023;Aman;0;0;0;
